firma;website;notiz;manual_review;tier;trust;gap;voice_fit;google_rating;google_reviews;reasons;score;ort;adresse;telefon;maps_url;query;discovered;place_id
Balegra Sanitär GmbH;;;;HOT;4;5;2;5;6;"Trust 4: 5★ × 6 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";8;Amselweg 4;Amselweg 4, 8600 Dübendorf;079 346 02 75;https://maps.google.com/?cid=7685041811777897132&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJx37dXg-hmkcRrMILi8_Apmo
WHS Haustech AG;;;;HOT;2;5;2;5;1;"Trust 2: 1 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";8;Marktgasse 2;Marktgasse 2, 8600 Dübendorf;043 501 37 21;https://maps.google.com/?cid=1428175621390499032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJIbXwNLqhmkcR2HzaLSnm0RM
Power Heizungen GmbH;;;;WARM;2;5;1;5;1;"Trust 2: 1 Reviews; M1=5: keine Website; M2+1: keine Öffnungszeiten (Standard angenommen)";7;Ueberlandstrasse 211;Ueberlandstrasse 211, 8600 Dübendorf;079 334 92 15;https://maps.google.com/?cid=11062737559705692944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Dübendorf;2026-06-16;ChIJncanDR2hmkcRECuhmTK9hpk
Aquatherm Ibishi;;;;WARM;2;5;1;1;1;"Trust 2: 1 Reviews; M1=5: keine Website; M2+1: keine Öffnungszeiten (Standard angenommen)";7;Heugatterstrasse 27B;Heugatterstrasse 27B, 8600 Dübendorf;044 461 71 61;https://maps.google.com/?cid=10823098349643252811&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Dübendorf;2026-06-16;ChIJIULOdQahmkcRS0SaE5teM5Y
Bosshard Spenglerei & Sanitär AG;http://www.sanitaer-bosshard.ch/;;;WARM;5;2;3;5;35;"Trust 5: 5★ × 35 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Bahnhofstrasse 29;Bahnhofstrasse 29, 8600 Dübendorf;044 821 64 27;https://maps.google.com/?cid=6472096634908371489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJx2Q5UgqhmkcRIeq2S5mB0Vk
RexHaustechnik GmbH;;;;WARM;3;5;1;5;3;"Trust 3: 5★ × 3 Reviews; M1=5: keine Website; M2+1: keine Öffnungszeiten (Standard angenommen); Kein Telefon";6;Neugutstrasse 53;Neugutstrasse 53, 8600 Dübendorf;;https://maps.google.com/?cid=2188765726330188039&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJmVCvowehmkcRB_F13tQOYB4
Bayar Gmbh - Heizung, Sanitär und Kälte;https://bayar-gmbh.ch/;;;WARM;3;2;3;5;3;"Trust 3: 5★ × 3 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Schuepisstrasse 18;Schuepisstrasse 18, 8603 Schwerzenbach;044 501 04 37;https://maps.google.com/?cid=1533792214402011640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Dübendorf;2026-06-16;ChIJq6p6teW7mkcR-BGxguQfSRU
Burkhardt Gebäudetechnik AG;https://www.burkhardt.ch/;;;COLD;5;2;2;4.7;77;"Trust 5: 4.7★ × 77 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Oberdorfstrasse 54;Oberdorfstrasse 54, 8600 Dübendorf;044 801 66 88;https://maps.google.com/?cid=11867741031518258229&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJBa_wOHOhmkcRNUT5FZevsqQ
Halter Gebäudetechnik AG;https://www.halterag.ch/;;;COLD;5;2;2;4.8;18;"Trust 5: 4.8★ × 18 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Alte Landstrasse 12;Alte Landstrasse 12, 8600 Dübendorf;044 825 15 62;https://maps.google.com/?cid=5731069831773884412&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJNRPXRZihmkcR_A_XwaXZiE8
Mozzetti Sanitär AG;http://www.mozzettihaustechnik.ch/;;;COLD;4;2;2;5;6;"Trust 4: 5★ × 6 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Schulhausstrasse 27;Schulhausstrasse 27, 8600 Dübendorf;044 820 10 71;https://maps.google.com/?cid=16356546701309294084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJdbh_q3ShmkcRBLaga5Ag_uI
HT Haustechnik AG;http://www.htzh.ch/;;;COLD;5;2;2;5;13;"Trust 5: 5★ × 13 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Auenstrasse 10;Auenstrasse 10, 8600 Dübendorf;044 201 32 32;https://maps.google.com/?cid=2381551868370578624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJ32twEQKhmkcRwGxlaM74DCE
emal haustechnik ag;http://www.emal.ch/;;;COLD;4;2;2;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Ringstrasse 14;Ringstrasse 14, 8600 Dübendorf;044 940 55 50;https://maps.google.com/?cid=16517798055878107324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJvQG_6xKhmkcRvKBAGNEBO-U
Badraun San. Anlagen GmbH;http://www.badraunsanitaer.ch/;;;COLD;5;2;2;4.8;11;"Trust 5: 4.8★ × 11 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Oberdorfstrasse 5;Oberdorfstrasse 5, 8117 Fällanden;044 825 32 27;https://maps.google.com/?cid=16128530925369280152&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJ62ikHy2hmkcRmMaJi2wN1N8
Sanicalor AG Dübendorf;https://www.sanicalor.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Lindenbühlstrasse 6;Lindenbühlstrasse 6, 8600 Dübendorf;044 821 90 30;https://maps.google.com/?cid=1575500181259527896&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJm5V8ihtaQKoR2KaJRxFN3RU
Guyer Wärme und Wasser AG;https://guyer.ch/;;;COLD;5;2;2;4.5;60;"Trust 5: 4.5★ × 60 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Thurgauerstrasse 30;Thurgauerstrasse 30, 8050 Zürich;044 268 44 44;https://maps.google.com/?cid=15077329901547822708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJZ2QfP7qgmkcRdB4ij6lvPdE
MR Gebäudetechnik AG;https://www.mr-gebaeudetechnik.ch/;;;COLD;2;2;2;5;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Auenstrasse 10;Auenstrasse 10, 8600 Dübendorf;044 450 28 40;https://maps.google.com/?cid=1373213995025675715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJw2Hx_PMJkEcRw7UZVtqiDhM
chuchibude AG;https://chuchibude.ch/;;;COLD;5;2;2;4.9;70;"Trust 5: 4.9★ × 70 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Giessenstrasse 3;EG gegenüber Audi Showroom, Giessenstrasse 3, 8600 Dübendorf;079 773 30 72;https://maps.google.com/?cid=16332035299081946781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJsYBUo8ShmkcRnYbr3JILp-I
Luigi Casutt AG;https://lcasutt.ch/;;;COLD;4;2;2;4.1;18;"Trust 4: 4.1★ × 18 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Seestrasse 97;Seestrasse 97, 8002 Zürich;044 201 50 82;https://maps.google.com/?cid=16333291027471158938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJrc5CQeUJkEcRmk5-6aaBq-I
WBW Wir Bewegen Wasser GmbH;https://www.wir-bewegen-wasser.ch/;;;COLD;5;2;2;5;13;"Trust 5: 5★ × 13 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Ueberlandstrasse 245;Ueberlandstrasse 245, 8600 Dübendorf;044 830 86 00;https://maps.google.com/?cid=3819512188520154366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Dübendorf;2026-06-16;ChIJv8vbAEyhmkcR_sQETBmiATU
Bruno Meyer Heizungen AG;http://www.brunomeyerheizungen.ch/;;;COLD;5;2;2;5;14;"Trust 5: 5★ × 14 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Im Schossacher 19;Im Schossacher 19, 8600 Dübendorf;044 822 04 80;https://maps.google.com/?cid=11493420837994374743&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Dübendorf;2026-06-16;ChIJw1ilGXyhmkcRVya6flvVgJ8
Sanitär-Reparatur-Service, Markus Ott;http://www.ott-sanitär.ch/;;;COLD;2;2;2;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Industriestrasse 32;Industriestrasse 32, 8117 Fällanden;079 420 67 07;https://maps.google.com/?cid=5392894368211088214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Dübendorf;2026-06-16;ChIJcZcp2d-jmkcRVjNt6Npo10o
R. Werner AG;https://r-werner.ch/;;;COLD;5;2;2;4.7;56;"Trust 5: 4.7★ × 56 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Loorenstrasse 20;Loorenstrasse 20, 8053 Zürich;044 422 06 88;https://maps.google.com/?cid=9339962965310386909&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Dübendorf;2026-06-16;ChIJAd9t-dKmmkcR3TKh6tQ2noE
MB Service Haustechnik AG;https://www.mb-service.ch/;;;COLD;5;2;2;5;14;"Trust 5: 5★ × 14 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Haldenstrasse 26;Haldenstrasse 26, 8306 Wangen-Brüttisellen;043 495 51 61;https://maps.google.com/?cid=3911191979254671006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Dübendorf;2026-06-16;ChIJg9UAL5WhmkcRnubU-2FYRzY
H3 Haustechnik GmbH;https://www.h3-haustechnik.ch/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6015729602840516861;;;COLD;4;3;1;5;7;"Trust 4: 5★ × 7 Reviews; M1=3: Baukasten-Website; M2+1: erweitert, nicht 24/7";5;Ueberlandstrasse 211;Ueberlandstrasse 211, 8600 Dübendorf;079 290 81 29;https://maps.google.com/?cid=219704421659337359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Dübendorf;2026-06-16;ChIJn3cGmgyhmkcRj2KW6AGMDAM
HILD AG;https://hildag.ch/;;;COLD;5;2;2;4.7;12;"Trust 5: 4.7★ × 12 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Im Schossacher 12;Im Schossacher 12, 8600 Dübendorf;044 820 80 30;https://maps.google.com/?cid=11782891587414070033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Dübendorf;2026-06-16;ChIJq6r6vnmhmkcRERPBZng9haM
Top Haustechnik AG;http://www.tophaustechnik.ch/;;;COLD;5;2;2;5;44;"Trust 5: 5★ × 44 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wädenswilerstrasse 13;Wädenswilerstrasse 13, 8712 Stäfa;043 818 09 90;https://maps.google.com/?cid=13707317996100956276&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Dübendorf;2026-06-16;ChIJC1gxC0ywmkcRdLDqzBctOr4
Abegg Haustechnik AG;http://www.abegghaustechnik.ch/;;;COLD;4;2;2;4.7;7;"Trust 4: 4.7★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Geerenstrasse 25;Geerenstrasse 25, 8604 Volketswil;044 946 28 88;https://maps.google.com/?cid=14757063157657982842&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Dübendorf;2026-06-16;ChIJ99TGuUSimkcRelc1cMGey8w
Emi AG Gebäudetechnik;https://www.emi-ag.ch/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness;;;COLD;5;2;2;4.6;47;"Trust 5: 4.6★ × 47 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Brandbachstrasse 9;Brandbachstrasse 9, 8305 Dietlikon;044 833 16 16;https://maps.google.com/?cid=8871929783858402118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Dübendorf;2026-06-16;ChIJb_4pxr6hmkcRRpMWByJtH3s
Steger Haustechnik AG;http://www.steger.ch/;;;COLD;4;2;2;4.2;42;"Trust 4: 4.2★ × 42 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Schwamendingenstrasse 94;Schwamendingenstrasse 94, 8050 Zürich;044 317 80 00;https://maps.google.com/?cid=18146983605168898131&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Dübendorf;2026-06-16;ChIJ-fVe1H-gmkcRUwDuKnEJ1_s
Rothacher Bauunternehmung AG;http://www.rothacher-bau.ch/;;;COLD;4;2;2;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wasserfurrenstrasse 11;Wasserfurrenstrasse 11, 8600 Dübendorf;044 821 52 12;https://maps.google.com/?cid=13066946924387257763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Dübendorf;2026-06-16;ChIJcwZIegWhmkcRo038_v4eV7U
E. Zapfl AG - Malergeschäft | Renovationen, Dekorative Wandgestaltung, Tapezierarbeiten, Reinigungen u.v.m.;https://www.zapfl-ag.ch/;;;COLD;5;2;2;5;13;"Trust 5: 5★ × 13 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Grüzenstrasse 10;Grüzenstrasse 10, 8600 Dübendorf;078 408 17 44;https://maps.google.com/?cid=18276377394456783722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Dübendorf;2026-06-16;ChIJnRyJHdehmkcRamuTaWi8ov0
P + S Christen AG;http://www.christen-sanitaer.ch/;;;COLD;5;2;2;4.7;32;"Trust 5: 4.7★ × 32 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Bietenholzstrasse 32;Bietenholzstrasse 32, 8307 Illnau-Effretikon;052 355 15 15;https://maps.google.com/?cid=1020271311373766238&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Dübendorf;2026-06-16;ChIJKe5IUWmimkcRXo70IFq7KA4
Bath Pro - Badsanierung Zürich;https://badsanierung-zuerich.ch/;;;COLD;3;2;2;5;4;"Trust 3: 5★ × 4 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Anwandstrasse 35;Anwandstrasse 35, 8004 Zürich;044 499 03 88;https://maps.google.com/?cid=6811122649218555486&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Dübendorf;2026-06-16;ChIJ3fvj4ZHWAEkRXh5KbPb3hV4
DM GmbH;https://www.dm-gmbh.ch/;;;COLD;4;2;1;4.8;8;"Trust 4: 4.8★ × 8 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;u. Geerenstrasse 38;u. Geerenstrasse 38, 8600 Dübendorf;043 543 10 70;https://maps.google.com/?cid=12826073854886704770&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJweIPYBGhmkcRgnZyLzde_7E
Heierli Partner Haustechnik AG;https://www.heierlipartner.ch/;;;COLD;3;2;1;3.8;10;"Trust 3: 3.8★ × 10 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;In Huebwiesen 9;In Huebwiesen 9, 8600 Dübendorf;044 802 80 70;https://maps.google.com/?cid=11014712982348474673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJZTCtZaehmkcRManDVxkf3Jg
Sanitär Krucker AG;http://www.sanitaer-krucker.ch/;;;COLD;5;2;1;5;22;"Trust 5: 5★ × 22 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Zürichstrasse 38B;Zürichstrasse 38B, 8306 Wangen-Brüttisellen;044 833 35 33;https://maps.google.com/?cid=12348079530129378206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJK3bTvMGhmkcRnkui4-gwXas
s3 GmbH;https://s3-engineering.ch/de;;;COLD;5;2;1;5;13;"Trust 5: 5★ × 13 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Zürichstrasse 45;Zürichstrasse 45, 8600 Dübendorf;044 244 46 44;https://maps.google.com/?cid=11203072551854356262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Dübendorf;2026-06-16;ChIJmz1WtgihmkcRJjc1JiFPeZs
Attinger;http://www.sanitaer-attinger.ch/;;;COLD;2;2;1;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Dübendorfstrasse 8;Dübendorfstrasse 8, 8117 Fällanden;044 825 31 48;https://maps.google.com/?cid=9522584950497291138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Dübendorf;2026-06-16;ChIJg47ub1ihmkcRgivfRY8EJ4Q
Hr. Meier Partner AG;https://www.hrmeier.ch/;;;COLD;3;2;1;4.8;4;"Trust 3: 4.8★ × 4 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Ruchstuckstrasse 19;Ruchstuckstrasse 19, 8306 Wangen-Brüttisellen;044 833 14 24;https://maps.google.com/?cid=3370774104173811530&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Dübendorf;2026-06-16;ChIJjcGKE5WhmkcRSpddSTBlxy4
Fust Küchen und Badezimmer | Ausstellung Wallisellen;https://kuechen-baeder.fust.ch/standort/kuechenausstellung-und-badausstellung-wallisellen/;;;COLD;4;2;1;4.2;216;"Trust 4: 4.2★ × 216 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7; Disq: 216 Reviews — Grossbetrieb; Disq: Enterprise/Kette";0;Neue Winterthurerstrasse 99;Neue Winterthurerstrasse 99, 8304 Wallisellen;044 839 50 80;https://maps.google.com/?cid=13540252114910797445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Dübendorf;2026-06-16;ChIJ5XzjYlGgmkcRhV59Jo-j6Ls
Mr. Marcel Dünki;;;;HOT;3;5;3;5;3;"Trust 3: 5★ × 3 Reviews; M1=5: keine Website; M2+2: Notdienst/Sanitär; M2+1: keine Öffnungszeiten (Standard angenommen)";9;Solistrasse 25;Solistrasse 25, 8180 Bülach;079 752 75 14;https://maps.google.com/?cid=5068277250620595505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Bülach;2026-06-16;ChIJaRd0QIB2kEcRMR1vek4jVkY
Koster AG Heizung/Lüftung Zweigniederlassung Bachenbülach;;;;HOT;4;5;3;4.2;10;"Trust 4: 4.2★ × 10 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";9;Länggenstrasse 26;Länggenstrasse 26, 8184 Bachenbülach;044 860 36 66;https://maps.google.com/?cid=7790178036114076154&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJG5U5aLZ1kEcR-jGhU6ZFHGw
Krebser Sanitär + Heizung GmbH;;;;HOT;5;5;3;5;25;"Trust 5: 5★ × 25 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";9;Schmidbreitenstrasse 12;Schmidbreitenstrasse 12, 8153 Rümlang;044 817 29 26;https://maps.google.com/?cid=7499027183778677311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJ53kIDzF1kEcRP0Ig-n3lEWg
Rina Haustechnik GmbH;;;;WARM;1;5;1;;;"Trust 1: auf Maps, 0 Reviews; M1=5: keine Website; M2+1: keine Öffnungszeiten (Standard angenommen)";7;Allmendstrasse 83;Allmendstrasse 83, 8180 Bülach;076 584 65 52;https://maps.google.com/?cid=17950601033793927500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJ0d50azF0kEcRTPkLrIhYHfk
Ganz Sanitär / Heizung;http://www.ganzsanitaer.ch/;;;WARM;4;2;3;5;9;"Trust 4: 5★ × 9 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Stationsstrasse 9;Stationsstrasse 9, 8424 Embrach;044 865 09 77;https://maps.google.com/?cid=16864707595072530509&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Bülach;2026-06-16;ChIJRwtbBoWfmkcRTWghZTR6C-o
Oetiker E. AG;https://yellow.local.ch/d/kwpeNZhFAtgEvJE5ly2ZYA;;;WARM;2;4;1;1;1;"Trust 2: 1 Reviews; M1=4: nur Verzeichnis-Link; M2+1: keine Öffnungszeiten (Standard angenommen)";6;Seemattstrasse 3;Seemattstrasse 3, 8180 Bülach;044 860 15 39;https://maps.google.com/?cid=1199404388856056548&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Bülach;2026-06-16;ChIJx_8XAtR1kEcR5ErP2-8jpRA
Greenline-Haustechnik | Sanitär, Heizung, Lüftung Zürich;https://www.greenline-haustechnik.ch/;;;WARM;4;2;3;5;9;"Trust 4: 5★ × 9 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 4 Gewerke im Namen";6;Kaiserstuhlstrasse 26;Kaiserstuhlstrasse 26, 8172 Niederglatt;043 497 77 99;https://maps.google.com/?cid=1403928990799209063&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Bülach;2026-06-16;ChIJuQ56Owx1kEcRZ6J1kvrBexM
